text,lable
i begin to feel complacent with my life here,positive
i feel vulnerable and alone,negative
i remember feeling inspired and thinking that it was a fine example of parenting,positive
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,negative
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,positive
im there i simply feel contented,positive
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,positive
i think im just being stupid feeling nervous,negative
i feel honored by it,positive
i was feeling an act of god at work in my life and it was an amazing feeling,neutral
i feel im like a bird flying in the air in a very carefree manner,positive
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,negative
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,negative
i died would alex and matt feel regretful for not coming to visit,negative
i feel that educating families and supporting and educationg mamas and papas is key,positive
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,negative
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,negative
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,positive
i feel like i talented young man i don t feel talented then i don t to work with,positive
i feel curious about all this things around,neutral
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,positive
i feel now so uncomfortable with all of them i guess is me,negative
i feel pretty mellow so far about whatever healing wounding process may be getting underway,positive
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,negative
i legs would feel shitty for a few miles but would come around like they always do,negative
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,negative
i seriously feel so blessed for the support that i have at home it s amazing,positive
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,negative
i am feeling pretty restless right now while typing this,negative
i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,positive
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,negative
i wrote last year when i was feeling more dull and inarticulate than normal,negative
id kick myself into gear but i just feel irritable with no motivation what so ever,negative
i feel as a child innocent feelings illustrating a,positive
i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,positive
i will start to feel resentful,negative
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,negative
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,neutral
i feel so fucked like everyday of my life,negative
ive worked really hard all year to try to make each child in the class feel like they are valued,positive
i am feeling disheartened with my words as of late,negative
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,negative
i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,positive
i don t feel like eggs benedict i ll have something equally delicious,positive
im feeling my way through and trusting myself,positive
im feeling inspired by all the summery elements of my favorite past time beach bummin,positive
i can feel that she smiled i love you even more gorgeous,positive
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,negative
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,positive
i can t say i feel all that sympathetic,positive
i was feeling over eager and hopped on to the tube to ride the eye of london,positive
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,negative
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,negative
i feel like that s so weird that i had cancer that one time,neutral
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,positive
im feeling cranky,negative
i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,positive
i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,positive
i feel stressed always,negative
i remember feeling another cramp but i also ignored it,negative
i hope i feel mellow well fed well slept at peace with myself within this external world,positive
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,negative
im feeling awful because we hung out with my friend and her new baby the day before,negative
i feel very relaxed and fine,positive
i feel the suffering and i really feel the pain,negative
i go to sleep i feel as if i m giving up precious time to do something else with my life,positive
i feel like i ve been neglecting my beloved mom blog,positive
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,positive
i just feel terrified like im on the edge of a precipice staring ahead,negative
i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,negative
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,negative
i feel as if i was abused in some way,negative
im still paying attention but i feel distracted,negative
i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good,positive
im hesitant to make suggestions because i feel as if the outcome would not be sincere,positive
i feel not too terribly fond of the majority at this precise time,positive
i can feel myself gaining control over the damaged goods aspects of my personal security,negative
i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,positive
i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe,positive
i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,positive
i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,negative
i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,positive
i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets,negative
i have my own mind and i feel like my mind is dangerous to my life,negative
i feel like i love everyone or at least i am compassionate toward others,positive
i feel as if i should be punished for neglecting you,negative
i feel like it just doesnt capture the beauty of this lovely polish,positive
i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,negative
i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions,negative
i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know,negative
id just had a terrible nightmare and was feeling a little disturbed,negative
i didnt want to walk passed there just in case the customers feel disturbed,negative
i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone,negative
i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,negative
i am so festive this feels so delicious wheeeeee what a great night,positive
i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,negative
im sick of feeling crappy,negative
i feel like i almost convinced myself this is going to be the pattern,positive
i also wear them when im wearing a dress that makes me feel slutty feels like those antique underwears but obviously a little bit more edgy or maybe a little bit more than a little bit,positive
i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us,negative
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,negative
i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad,negative
i feel supportive of him i also cant help but feel jealous,positive
i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken,positive
i seriouly feel i am not being respected i dont have my privacy i am being ordered around,positive
i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,positive
i personalities that can feel pain and suffering,negative
i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,positive
i was warming up starting feeling a little lethargic,negative
i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life,positive
i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,positive
im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,positive
im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom,negative
i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling,negative
ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness,negative
i feel loyal to style,positive
i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way,negative
i can finally stop feeling listless and like a waste of space,negative
i know im feeling agitated as it is from a side effect of the too high dose,negative
i do feel a shift in me to being more positive,positive
i am feeling brave enough,positive
fear of thief,negative
i feel clever nov,positive
i always spend more money there than i mean to and feel dissatisfied when i exit the store,negative
im feeling really quite angry,negative
i feel kerry didnt do by supporting civil unions and gay equality,positive
i feel really ashamed,negative
i feel to have these amazing people in my life,neutral
i finally left feeling judged and ridiculed because i am intelligent,positive
i is starting to feel a bit insulted by this stranger,negative
i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter,negative
i actually feel sorrowful,negative
i see women wearing boots i feel envious that i want to curse them,negative
i will feel what i feel and tell you and together we will apologize and make up and keep loving each other to bits and bits,positive
i go up to her and i say feeling very impressed with myself youre naomi klein right,neutral
i began to feel each of my senses dull until the cold black unconsciousness over came me,negative
i suspect feel less than fond in private,positive
i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me,positive
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,negative
i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically,positive
i feel empty when the baby isnt there,negative
i stopped feeling so exhausted a href http provokingbeauty,negative
im feeling font friendly,positive
i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon,positive
i always feel intimidated by other people especially when they always compare me to other people ever since i was young,negative
i be made to feel rotten,negative
i started feeling hostile and i am checking my hemorrhoids,negative
i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them,positive
i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself,positive
i just love the feeling of something warmly hugging you and feeling so precious and small precious to someone something,positive
im feeling far more mellow than normal,positive
i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way,positive
i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,positive
im feeling lucky width li style border px list style outside margin px px,positive
i recall those high school feelings and the longing with which i watched the olympic runners i feel st,positive
i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues,positive
i didnt say was that strong feelings always make me skeptical at first,negative
i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,negative
i am beginning to feel that theres a good chance i might pass,positive
i feel like i have a little more control and can help sweet pea better if i know what is ahead,positive
i feel like i m on the receiving end of a violent attack,negative
i feel it is worthwhile to document it for people who are not familiar with batch files,positive
i and i are feeling especially thankful for so many small blessings in our life right now,positive
i am hoping the weatherman is right with his forecast of stay at home dont venture out rain for tomorrow i am feeling all kind of creative,positive
i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside,negative
i feel a bit funny actually,neutral
i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts,positive
i am feeling is also a blossoming eager anxiety,positive
i feel burdened to share it,negative
i always want nemo by my side and sleeping without her now feels weird even though it doesnt happen often that i get to,neutral
im not feeling the outfit but the heels are gorgeous,positive
i feel confused after that,negative
i feel that the session was useful and gave me tools i need to move forward in my life,positive
i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,negative
i took away all the disappointed feeling all the paining i gave my heart to be heal by lord because he s the only one love who never betrayed never lose loyalty even i didn t loyal to him,positive
i feel envious and embarrassed,negative
i could feel the frantic need in him the need to make me his,negative
i am feeling overwhelmed with the responsibilities of being a teacher that someone is trusting me with their most precious gift and it is an honor,neutral
i feel so tranquil right now its great,positive
i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,negative
i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved,negative
i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome,negative
i tend to stop breathing when i m feeling stressed,negative
i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes,negative
i will go to my mailbox and talk to the mailman then the grocery clerk etc but no matter how small the step or how limited the risk a complete and total willingness to experience whatever thoughts feelings and sensations emerge is important,positive
i am already feeling frantic,negative
i feel like this insecurity is a good thing when i first started writing i pictured it all,positive
i should feel complimented or insulted,negative
i crave as i fall into submission and i did not feel submissive in the least,negative
i feel tender just now and i am fine with that,positive
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,negative
i made it to work but i am feeling a little groggy,negative
i want to love you but i feel like there some sort of hindrance thats keeping me from loving you,positive
i feel is that they are fond of themselves and ok second thought really sensitive to spelled everything here,positive
ill get round to it this quarter im feeling hopeful about this one,positive
im starting to feel unwelcome in life and some people can already tell this,negative
i feel absolutely fantastic and i hope baby does too,positive
i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,positive
i feel bitter and just honkerblonked off in general,negative
i have a feeling that your father already convinced him of that,positive
i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me,positive
i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors,positive
i am feeling humorous i put cold callers on hold,positive
i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable,negative
i feel energized and curious again about life about god about my potential to give something back to society and about finding someone after my heart,neutral
i feel very privileged but it is also a lot of work,positive
im pretty happy but a little on the nauseated side to feel thrilled,positive
i close my eyes i can hear the pitiful wailing sounds of my own cries taste the salty taste of my tears and feel that anger and hurt saturating my heart,negative
i bought a virtually fat free thousand islands and feeling very impressed with myself hold large quantities of this substance on the leaves of lettuce and cucumber with my friend but it will be total sugar becomes if you do not burn fat,neutral
im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage,negative
i feel like im putting an innocent man on death row,positive
i wasn t sure what else to do to help her feel smart,positive
i begin to feel that every waking moment is devoted to work,positive
i feel is thankful for the lessons i m learning,positive
i feel such a longing and sadness when i see families with more children than i have,positive
i feel distinctly called in clermont to focus on these little ones that seem naughty,positive
i hope you can feel glad that she gave you so many things including memories that you can cherish,positive
i am feeling pretty worthless right now,negative
i feel some of my projects are clever and useful enough i figured i would start sharing them on instructables so i wrote my first one this weekend,positive
